2022-04-30T04:27:31.387636546Z stdout F {"t":{"$date":"2022-04-30T04:27:31.384+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"initandlisten","msg":"Index build: done building","attr":{"buildUUID":null,"namespace":"local.startup_log","index":"_id_","commitTimestamp":null}}
2022-04-30T04:27:31.387786961Z stdout F {"t":{"$date":"2022-04-30T04:27:31.385+00:00"},"s":"I",  "c":"REPL",     "id":6015317, "ctx":"initandlisten","msg":"Setting new configuration state","attr":{"newState":"ConfigReplicationDisabled","oldState":"ConfigPreStart"}}
2022-04-30T04:27:31.395838975Z stdout F {"t":{"$date":"2022-04-30T04:27:31.394+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"/tmp/mongodb-27017.sock"}}
2022-04-30T04:27:31.396075381Z stdout F {"t":{"$date":"2022-04-30T04:27:31.395+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"0.0.0.0"}}
2022-04-30T04:27:31.396094604Z stdout F {"t":{"$date":"2022-04-30T04:27:31.395+00:00"},"s":"I",  "c":"NETWORK",  "id":23016,   "ctx":"listener","msg":"Waiting for connections","attr":{"port":27017,"ssl":"off"}}
2022-04-30T04:27:31.406815437Z stdout F {"t":{"$date":"2022-04-30T04:27:31.402+00:00"},"s":"I",  "c":"CONTROL",  "id":20712,   "ctx":"LogicalSessionCacheReap","msg":"Sessions collection is not set up; waiting until next sessions reap interval","attr":{"error":"NamespaceNotFound: config.system.sessions does not exist"}}
2022-04-30T04:27:31.410210458Z stdout F {"t":{"$date":"2022-04-30T04:27:31.409+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"LogicalSessionCacheRefresh","msg":"createCollection","attr":{"namespace":"config.system.sessions","uuidDisposition":"generated","uuid":{"uuid":{"$uuid":"3c664c29-1466-4103-b1c4-17e5421937f9"}},"options":{}}}
2022-04-30T04:27:31.524092987Z stdout F {"t":{"$date":"2022-04-30T04:27:31.513+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"LogicalSessionCacheRefresh","msg":"Index build: done building","attr":{"buildUUID":null,"namespace":"config.system.sessions","index":"_id_","commitTimestamp":null}}
2022-04-30T04:27:31.524156356Z stdout F {"t":{"$date":"2022-04-30T04:27:31.513+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"LogicalSessionCacheRefresh","msg":"Index build: done building","attr":{"buildUUID":null,"namespace":"config.system.sessions","index":"lsidTTLIndex","commitTimestamp":null}}
2022-04-30T04:27:31.524170989Z stdout F {"t":{"$date":"2022-04-30T04:27:31.514+00:00"},"s":"I",  "c":"COMMAND",  "id":51803,   "ctx":"LogicalSessionCacheRefresh","msg":"Slow query","attr":{"type":"command","ns":"config.system.sessions","command":{"createIndexes":"system.sessions","v":2,"indexes":[{"key":{"lastUse":1},"name":"lsidTTLIndex","expireAfterSeconds":1800}],"ignoreUnknownIndexOptions":false,"writeConcern":{},"$db":"config"},"numYields":0,"reslen":114,"locks":{"ParallelBatchWriterMode":{"acquireCount":{"r":4}},"ReplicationStateTransition":{"acquireCount":{"w":4}},"Global":{"acquireCount":{"r":4,"w":1}},"Database":{"acquireCount":{"r":3,"w":1}},"Collection":{"acquireCount":{"r":3,"w":1}},"Mutex":{"acquireCount":{"r":6}}},"storage":{},"protocol":"op_msg","durationMillis":111}}
2022-04-30T04:28:31.302550207Z stdout F {"t":{"$date":"2022-04-30T04:28:31.300+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651292911:300068][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 34, snapshot max: 34 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:29:00.3613757Z stdout F {"t":{"$date":"2022-04-30T04:29:00.269+00:00"},"s":"I",  "c":"COMMAND",  "id":20499,   "ctx":"ftdc","msg":"serverStatus was very slow","attr":{"timeStats":{"after basic":0,"after asserts":0,"after bucketCatalog":0,"after catalogStats":0,"after connections":0,"after electionMetrics":0,"after extra_info":0,"after flowControl":0,"after freeMonitoring":0,"after globalLock":0,"after locks":0,"after logicalSessionRecordCache":0,"after mirroredReads":0,"after network":0,"after opLatencies":0,"after opcounters":0,"after opcountersRepl":0,"after oplogTruncation":0,"after readConcernCounters":0,"after repl":0,"after scramCache":0,"after security":0,"after storageEngine":0,"after tcmalloc":10,"after tenantMigrations":10,"after trafficRecording":10,"after transactions":10,"after transportSecurity":10,"after twoPhaseCommitCoordinator":10,"after wiredTiger":45,"at end":1217}}}
2022-04-30T04:29:06.349989738Z stdout F {"t":{"$date":"2022-04-30T04:29:06.345+00:00"},"s":"I",  "c":"COMMAND",  "id":20499,   "ctx":"ftdc","msg":"serverStatus was very slow","attr":{"timeStats":{"after basic":0,"after asserts":0,"after bucketCatalog":0,"after catalogStats":0,"after connections":0,"after electionMetrics":0,"after extra_info":0,"after flowControl":0,"after freeMonitoring":0,"after globalLock":0,"after locks":113,"after logicalSessionRecordCache":113,"after mirroredReads":113,"after network":113,"after opLatencies":113,"after opcounters":113,"after opcountersRepl":113,"after oplogTruncation":114,"after readConcernCounters":114,"after repl":114,"after scramCache":114,"after security":114,"after storageEngine":114,"after tcmalloc":1090,"after tenantMigrations":1090,"after trafficRecording":1090,"after transactions":1090,"after transportSecurity":1090,"after twoPhaseCommitCoordinator":1090,"after wiredTiger":1091,"at end":1097}}}
2022-04-30T04:29:31.829247348Z stdout F {"t":{"$date":"2022-04-30T04:29:31.794+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651292971:794167][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 37, snapshot max: 37 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:29:40.614232179Z stdout F {"t":{"$date":"2022-04-30T04:29:40.535+00:00"},"s":"I",  "c":"COMMAND",  "id":20499,   "ctx":"ftdc","msg":"serverStatus was very slow","attr":{"timeStats":{"after basic":0,"after asserts":0,"after bucketCatalog":0,"after catalogStats":1388,"after connections":1388,"after electionMetrics":1388,"after extra_info":1388,"after flowControl":1388,"after freeMonitoring":1388,"after globalLock":1388,"after locks":1388,"after logicalSessionRecordCache":1388,"after mirroredReads":1388,"after network":1388,"after opLatencies":1388,"after opcounters":1388,"after opcountersRepl":1388,"after oplogTruncation":1413,"after readConcernCounters":1413,"after repl":1413,"after scramCache":1413,"after security":1413,"after storageEngine":1413,"after tcmalloc":1413,"after tenantMigrations":1413,"after trafficRecording":1413,"after transactions":1413,"after transportSecurity":1413,"after twoPhaseCommitCoordinator":1413,"after wiredTiger":1515,"at end":1516}}}
2022-04-30T04:30:32.049721806Z stdout F {"t":{"$date":"2022-04-30T04:30:32.047+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293032:47506][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 39, snapshot max: 39 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:31:32.095428641Z stdout F {"t":{"$date":"2022-04-30T04:31:32.092+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293092:92366][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 41, snapshot max: 41 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
