2022-05-09T22:32:56.699205607Z stdout F {"duration":431,"bytes_sent":47,"upstream_host":"10.96.154.248:12031","requested_server_name":null,"start_time":"2022-05-09T22:32:56.128Z","connection_termination_details":null,"request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","upstream_local_address":"10.244.0.118:33946","response_code_details":"via_upstream","downstream_remote_address":"10.244.0.118:39714","upstream_cluster":"PassthroughCluster","route_name":"allow_any","authority":"ts-travel-service:12346","protocol":"HTTP/1.1","user_agent":"python-requests/2.26.0","upstream_service_time":"430","downstream_local_address":"10.96.154.248:12031","path":"/api/v1/orderservice/order/tickets","bytes_received":112,"response_code":200,"x_forwarded_for":null,"upstream_transport_failure_reason":null,"method":"POST","response_flags":"-"}
2022-05-09T22:32:56.699208357Z stdout F {"upstream_service_time":"14","response_code":200,"route_name":"default","response_code_details":"via_upstream","response_flags":"-","upstream_cluster":"outbound|12346||ts-travel-service.default.svc.cluster.local","x_forwarded_for":null,"authority":"ts-travel-service:12346","start_time":"2022-05-09T22:32:56.561Z","connection_termination_details":null,"requested_server_name":null,"upstream_transport_failure_reason":null,"bytes_sent":125,"method":"GET","downstream_remote_address":"10.244.0.118:39152","upstream_host":"10.244.0.129:12346","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","user_agent":"python-requests/2.26.0","downstream_local_address":"10.96.119.129:12346","path":"/api/v1/travelservice/train_types/G1237","protocol":"HTTP/1.1","upstream_local_address":"10.244.0.118:41978","duration":16,"bytes_received":0}
2022-05-09T22:32:56.699219969Z stdout F {"upstream_host":"10.96.5.54:15679","downstream_remote_address":"10.244.0.118:37128","response_code_details":"via_upstream","response_flags":"-","user_agent":"python-requests/2.26.0","response_code":200,"connection_termination_details":null,"route_name":"allow_any","bytes_sent":172,"path":"/api/v1/configservice/configs/DirectTicketAllocationProportion","bytes_received":0,"upstream_local_address":"10.244.0.118:52328","upstream_cluster":"PassthroughCluster","upstream_transport_failure_reason":null,"upstream_service_time":"9","authority":"ts-travel-service:12346","downstream_local_address":"10.96.5.54:15679","method":"GET","duration":10,"start_time":"2022-05-09T22:32:56.579Z","requested_server_name":null,"protocol":"HTTP/1.1","x_forwarded_for":null,"request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c"}
2022-05-09T22:32:56.699223517Z stdout F {"response_flags":"-","bytes_received":112,"duration":480,"connection_termination_details":null,"x_forwarded_for":null,"authority":"ts-travel-service:12346","start_time":"2022-05-09T22:32:56.111Z","response_code":200,"upstream_cluster":"inbound|18898||","requested_server_name":null,"upstream_transport_failure_reason":null,"downstream_remote_address":"10.244.0.129:36714","user_agent":"python-requests/2.26.0","bytes_sent":74,"downstream_local_address":"10.244.0.118:18898","method":"POST","upstream_host":"10.244.0.118:18898","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","protocol":"HTTP/1.1","upstream_local_address":"127.0.0.6:33019","upstream_service_time":"479","path":"/api/v1/seatservice/seats/left_tickets","response_code_details":"via_upstream","route_name":"default"}
2022-05-09T22:32:56.699226307Z stdout F {"requested_server_name":null,"bytes_sent":190,"response_flags":"-","x_forwarded_for":null,"method":"GET","protocol":"HTTP/1.1","path":"/api/v1/travelservice/routes/G1237","upstream_transport_failure_reason":null,"request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","authority":"ts-travel-service:12346","downstream_remote_address":"10.244.0.118:39152","duration":14,"user_agent":"python-requests/2.26.0","response_code":200,"upstream_host":"10.244.0.129:12346","start_time":"2022-05-09T22:32:56.626Z","bytes_received":0,"connection_termination_details":null,"downstream_local_address":"10.96.119.129:12346","upstream_cluster":"outbound|12346||ts-travel-service.default.svc.cluster.local","upstream_service_time":"14","upstream_local_address":"10.244.0.118:41978","route_name":"default","response_code_details":"via_upstream"}
2022-05-09T22:32:56.69922907Z stdout F {"response_flags":"-","upstream_service_time":"11","upstream_transport_failure_reason":null,"duration":11,"start_time":"2022-05-09T22:32:56.645Z","upstream_cluster":"PassthroughCluster","user_agent":"python-requests/2.26.0","requested_server_name":null,"downstream_local_address":"10.96.119.129:12346","x_forwarded_for":null,"upstream_host":"10.96.119.129:12346","response_code_details":"via_upstream","connection_termination_details":null,"bytes_received":0,"request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","method":"GET","protocol":"HTTP/1.1","response_code":200,"downstream_remote_address":"10.244.0.118:39152","route_name":"allow_any","upstream_local_address":"10.244.0.118:46964","path":"/api/v1/travelservice/routes/D1345","authority":"ts-preserve-service:14568","bytes_sent":190}
2022-05-09T22:32:57.69845557Z stdout F {"requested_server_name":null,"duration":319,"start_time":"2022-05-09T22:32:56.642Z","response_code":200,"path":"/api/v1/orderservice/order/tickets","user_agent":"python-requests/2.26.0","upstream_cluster":"PassthroughCluster","bytes_received":112,"upstream_transport_failure_reason":null,"upstream_host":"10.96.154.248:12031","bytes_sent":47,"route_name":"allow_any","upstream_local_address":"10.244.0.118:33946","authority":"ts-travel-service:12346","downstream_remote_address":"10.244.0.118:39714","method":"POST","downstream_local_address":"10.96.154.248:12031","x_forwarded_for":null,"response_code_details":"via_upstream","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","response_flags":"-","upstream_service_time":"319","protocol":"HTTP/1.1","connection_termination_details":null}
2022-05-09T22:32:57.698495218Z stdout F {"path":"/api/v1/travelservice/train_types/G1237","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","authority":"ts-travel-service:12346","start_time":"2022-05-09T22:32:56.963Z","user_agent":"python-requests/2.26.0","requested_server_name":null,"connection_termination_details":null,"upstream_transport_failure_reason":null,"upstream_cluster":"outbound|12346||ts-travel-service.default.svc.cluster.local","route_name":"default","downstream_local_address":"10.96.119.129:12346","upstream_service_time":"15","protocol":"HTTP/1.1","duration":16,"method":"GET","response_flags":"-","bytes_sent":125,"response_code":200,"upstream_host":"10.244.0.129:12346","bytes_received":0,"upstream_local_address":"10.244.0.118:41978","response_code_details":"via_upstream","downstream_remote_address":"10.244.0.118:39152","x_forwarded_for":null}
2022-05-09T22:32:57.69849985Z stdout F {"response_code":200,"duration":5,"request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","authority":"ts-travel-service:12346","upstream_transport_failure_reason":null,"protocol":"HTTP/1.1","downstream_local_address":"10.96.5.54:15679","bytes_received":0,"path":"/api/v1/configservice/configs/DirectTicketAllocationProportion","user_agent":"python-requests/2.26.0","response_flags":"-","bytes_sent":172,"downstream_remote_address":"10.244.0.118:37128","requested_server_name":null,"method":"GET","route_name":"allow_any","upstream_cluster":"PassthroughCluster","response_code_details":"via_upstream","x_forwarded_for":null,"upstream_local_address":"10.244.0.118:52328","start_time":"2022-05-09T22:32:56.980Z","upstream_service_time":"4","connection_termination_details":null,"upstream_host":"10.96.5.54:15679"}
2022-05-09T22:32:57.698507238Z stdout F {"request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","start_time":"2022-05-09T22:32:56.624Z","protocol":"HTTP/1.1","authority":"ts-travel-service:12346","path":"/api/v1/seatservice/seats/left_tickets","user_agent":"python-requests/2.26.0","downstream_remote_address":"10.244.0.129:36714","upstream_local_address":"127.0.0.6:33019","response_flags":"-","response_code":200,"upstream_service_time":"362","bytes_received":112,"upstream_host":"10.244.0.118:18898","x_forwarded_for":null,"upstream_cluster":"inbound|18898||","requested_server_name":null,"bytes_sent":74,"route_name":"default","connection_termination_details":null,"downstream_local_address":"10.244.0.118:18898","response_code_details":"via_upstream","upstream_transport_failure_reason":null,"method":"POST","duration":362}
